,cik,year_end
1346,937556, 1228
1347,63276, 1231
1348,63296, 0930
1349,11, 40
1350,1042729, 1231
1351,1053584, 1231
1352,1490349, 06
1353,63908, 1231
1354,1527709, 1231
1355,1071993, 1231
1356,827054, 0331
1357,1224133, 1231
1358,927653, 0331
1359,1059556, 1231
1360,907242, 1231
1361,62234, 1226
1362,64996, 1231
1363,893949, 1231
1364,773141, 1231
1365,876883, 6
1366,1113481, 1231
1367,65011, 0630
1368,708819, 1
1369,1124804, 1231
1370,1613103, 40
1371,67716, 1231
1372,910329, 1231
1373,65270, 0502
1374,1099590, 40
1375,886977, 40
1376,75659, 1231
1377,1099219, 1231
1378,1055160, 1231
1379,1086888, 40
1380,1094810, 1231
1381,1436126, 1231
1382,749098, 40
1383,1273931, 1231
1384,1231, 40
1385,19411, 1231
1386,789570, 1231
1387,835011, 1231
1388,752714, 1231
1389,851968, 1231
1390,1412100, 40
1391,799292, 1231
1392,1289790, 1231
1393,769520, 1228
1394,926423, 0131
1395,911109, 1231
1396,807863, 0930
1397,1514281, 1231
1398,63754, 1130
1399,1096343, 1231
1400,1049502, 1231
1401,1278021, 1231
1402,724004, 0331
1403,66382, 0530
1404,89439, 1228
1405,916076, 1231
1406,1356104, 3
1407,1550603, 0930
1408,62709, 1231
1409,1578732, 1231
1410,1176334, 1231
1411,66740, 1231
1412,1126975, 1231
1413,1032220, 0930
1414,856982, 1231
1415,331, 40
1416,1524223, 1231
1417,1056087, 1229
1418,899460, 1231
1419,67625, 0930
1420,876427, 0328
1421,865752, 1231
1422,1235010, 1231
1423,1302028, 1231
1424,764180, 1231
1425,67347, 0331
1426,1412665, 1231
1427,1179929, 1231
1428,1289419, 1231
1429,1285785, 1231
1430,890394, 1231
1431,72573, 0131
1432,918251, 0331
1433,1510295, 1231
1434,1287865, 1231
1435,1280452, 1231
1436,1129155, 1231
1437,1600470, 1231
1438,1439095, 1231
1439,1049521, 0703
1440,310158, 1231
1441,1260968, 1231
1442,101778, 1231
1443,799167, 1231
1444,1058057, 40
1445,895421, 1231
1446,66570, 1231
1447,1408198, 1231
1448,66004, 1231
1449,789019, 0630
1450,1636519, 0630
1451,68505, 1231
1452,1003078, 0829
1453,880432, 0630
1454,1050446, 1231
1455,1243429, 40
1456,36270, 1231
1457,1037646, 1231
