,Unnamed: 0,cik,year_end,symbol
686,686,826675, 1231,DX
687,687,1093557, 1231,DXCM
688,688,1020710, 1231,DXPE
689,689,29332, 1228,DXYN
690,690,67215, 0125,DY
691,691,720875, 0630,DYNT
692,692,1231, 40,E
693,693,712515, 0331,EA
694,694,703351, 0624,EAT
695,695,1065088, 1231,EBAY
696,696,33002, 0228,EBF
697,697,814549, 1231,EBIX
698,698,1367644, 1231,EBS
699,699,1411974, 1231,EBSB
700,700,1231, 40,EC
701,701,1157806, 40,ECA
702,702,1426945, 1231,ECHO
703,703,31462, 1231,ECL
704,704,1783400, 1231,ECOL
705,705,1084961, 1231,ECPG
706,706,1487798, 1231,ECT
707,707,1047862, 1231,ED
708,708,1231, 40,EDAP
709,709,531, 40,EDU
710,710,31978, 1231,EE
711,711,1029199, 1231,EEFT
712,712,1411342, 1231,EFC
713,713,1025835, 1231,EFSC
714,714,33185, 1231,EFX
715,715,1066194, 0630,EGAN
716,716,1050441, 1231,EGBN
717,717,1023731, 0331,EGHT
718,718,18, 40,EGO
719,719,1065332, 1231,EGOV
720,720,49600, 1231,EGP
721,721,894627, 1231,EGY
722,722,1333493, 1231,EHTH
723,723,1379041, 1231,EIG
724,724,827052, 1231,EIX
725,725,1001250, 0630,EL
726,726,1013606, 1231,ELGX
727,727,1488917, 0630,ELMD
728,728,895417, 1231,ELS
729,729,837465, 1231,ELY
730,730,1046995, 1231,EMAN
731,731,105634, 1231,EME
732,732,808326, 0930,EMKR
733,733,915389, 1231,EMN
734,734,32604, 0930,EMR
735,735,895728, 40,ENB
736,736,1593034, 40,ENDP
737,737,1463101, 1231,ENPH
738,738,1632790, 0930,ENR
739,739,1289308, 0331,ENS
740,740,1125376, 1231,ENSG
741,741,1101302, 1231,ENTG
742,742,1337619, 1231,ENV
743,743,316253, 0731,ENZ
744,744,821189, 1231,EOG
745,745,1352010, 1231,EPAM
746,746,1073349, 0630,EPAY
747,747,1061219, 1231,EPD
748,748,1006655, 0630,EPM
749,749,1045450, 1231,EPR
750,750,1101239, 1231,EQIX
751,751,906107, 1231,EQR
752,752,33213, 1231,EQT
753,753,29, 40,ERF
754,754,1231, 40,ERIC
755,755,922621, 1231,ERIE
756,756,1421517, 1231,ERII
757,757,9, 40,ERJ
758,758,72741, 1231,ES
759,759,33488, 1229,ESCA
760,760,866706, 0930,ESE
761,761,3, 40,ESEA
762,762,1363829, 40,ESGR
763,763,1590714, 1231,ESI
764,764,1231, 40,ESLT
765,765,920522, 1231,ESS
766,766,1382230, 0930,ESSA
767,767,10254, 1231,ESTE
768,768,1276187, 1231,ET
769,769,1015780, 1231,ETFC
770,770,896156, 0630,ETH
771,771,1067837, 1231,ETM
772,772,1551182, 40,ETN
773,773,65984, 1231,ETR
774,774,350797, 1031,EV
775,775,842518, 1231,EVBN
776,776,1109116, 1231,EVC
777,777,1640428, 1231,EVER
778,778,1052054, 1231,EVOL
779,779,1360901, 1231,EVR
780,780,1099800, 1231,EW
781,781,1069157, 1231,EWBC
782,782,1124140, 1231,EXAS
783,783,1109357, 1231,EXC
784,784,939767, 0103,EXEL
785,785,16, 40,EXFO
786,786,20, 40,EXK
